state,Poll source,Date,1st,2nd,3rd,Other
Alabama,Gravis Marketing Margin of error: ± 2%  Sample size: 1616,"September 3, 2015",Donald Trump  38%,,,
Alabama,News-5/Strategy Research Margin of error: ?  Sample size: ?,"August 11, 2015",Donald Trump  30%,,,
Alabama,Opinion Savvy/Insider Advantage Margin of error: ± 4.4%  Sample size: 481,"August 3, 2015",Donald Trump  37.6%,,,
Alabama,Cygnal Margin of error: ± 3.42%  Sample size: 821,"July 8, 2014",Jeb Bush  19.8%,,,

Alaska,Public Policy Polling Margin of error: ± 5.3%  Sample size: 337,"August 3, 2014",Ted Cruz  16%,Rand Paul  15%,Mike Huckabee  14%,
Alaska,Public Policy Polling Margin of error: ± 5.5%  Sample size: 313,"May 11, 2014",Ted Cruz  15%,Jeb Bush  14%,Chris Christie  14%,
Alaska,Magellan Strategies Margin of error: ± 7%  Sample size: 190,"April 14, 2014",Ted Cruz  16%,Rand Paul  15%,Jeb Bush  13%,
Alaska,Public Policy Polling Margin of error: ± 4.7%  Sample size: 442,"February 1, 2014",Rand Paul  15%,Ted Cruz  13%,Sarah Palin  13%,
Alaska,Public Policy Polling Margin of error: ± 4.4%  Sample size: 507,"July 28, 2013",Rand Paul  18%,Sarah Palin  14%,,
Alaska,Public Policy Polling Margin of error: ± 4.2%  Sample size: 537,"Feb. 5, 2013",Marco Rubio  18%,Mike Huckabee  14%,,

Arizona,Behavior Research Center Margin of error: ± 6.7%  Sample size: 226,"November 4, 2015",Ben Carson  23%,Donald Trump  21%,,
Arizona,Gravis Marketing Margin of error: ± 3.4%  Sample size: 844,"August 15, 2015",Donald Trump  33.1%,,,
Arizona,Silver Bullet LLC Margin of error: ± 3.77%  Sample size: 677,"August 3, 2015",Donald Trump  33%,,,
Arizona,MBQF Consulting Margin of error: ± 3.56  Sample size: 758,"July 29, 2015",Donald Trump  26.5%,,,
Arizona,Public Policy Polling Margin of error: ± 5.7%  Sample size: 300,"May 3, 2015",Scott Walker  16%,Jeb Bush  14%,Marco Rubio  14%,
Arizona,Public Policy Polling Margin of error: ± 4.9%  Sample size: 403,"March 2, 2014",Ted Cruz  16%,Rand Paul  14%,Chris Christie  12%,

Arkansas,Opinion Savvy/Insider Advantage Margin of error: ± 4.7%  Sample size: 428,"August 2, 2015",Donald Trump  25.5%,Mike Huckabee  21.4%,,
Arkansas,Suffolk Margin of error: ± 7.5%  Sample size: 171,"September 23, 2014",Mike Huckabee  39.27%,,,
Arkansas,Public Policy Polling Margin of error: ± 4.5%  Sample size: 479,"August 3, 2014",Mike Huckabee  33%,,,
Arkansas,Public Policy Polling Margin of error: ± 5.4%  Sample size: 342,"April 27, 2014",Mike Huckabee  38%,,,
Arkansas,Magellan Strategies Margin of error: ± 3.35%  Sample size: 857,"April 15, 2014",Mike Huckabee  57%,,,
Arkansas,Polling Company/WomenTrend Margin of error: ± ?  Sample size: ?,"August 7, 2013",Rand Paul  21%,Marco Rubio  17%,,

California,USC/LA Times/SurveyMonkey Margin of error: ± 3.0%  Sample size: 674,"November 3, 2015",Donald Trump  20%,Ben Carson  19%,,
California,Field Margin of error: ± 7.0%  Sample size: 214,"October 4, 2015",Donald Trump  17%,Ben Carson  15%,Carly Fiorina 13%,
California,LA Times/USC Margin of error: ± 5.3%  Sample size: 422,"Sep 8, 2015",Donald Trump  24%,,,
California,Field Poll Margin of error: ± 7.0%  Sample size: 227,"May 16, 2015",Jeb Bush  11%,Marco Rubio  11%,Scott Walker  10%,
California,Emerson College Margin of error: ± ?  Sample size: 358,"April 8, 2015",Jeb Bush  17%,Scott Walker  17%,Ben Carson  15%,
California,Field Poll Margin of error: ± 5.4%  Sample size: 237,"February 16, 2015",Scott Walker  18%,Jeb Bush  16%,,

Colorado,Quinnipiac Margin of error: ± 4.5%  Sample size: 474,"November 15, 2015",Ben Carson  25%,,,
Colorado,Suffolk Margin of error: ± ?%  Sample size: 205,September 2014,Rand Paul  12.25%,Paul Ryan  10.29%,Chris Christie/Mike Huckabee  8.33%,
Colorado,Magellan Strategies Margin of error: ± 6%  Sample size: 270,"April 15, 2014",Rand Paul  17%,Mike Huckabee  16%,Ted Cruz  14%,
Colorado,Public Policy Polling Margin of error: ± 6.1%  Sample size: 255,"March 16, 2014",Ted Cruz  17%,Mike Huckabee  15%,Chris Christie  14%,
Colorado,Public Policy Polling Margin of error: ± 5.2%  Sample size: 355,"December 4, 2013",Ted Cruz  18%,Chris Christie  17%,Rand Paul  16%,

Connecticut,Emerson College Margin of error: ± 4.6%  Sample size: 445,"November 16, 2015",Donald Trump  24.7%,,,
Connecticut,Quinnipiac University Margin of error: ± 4.6%  Sample size: 464,"October 11, 2015",Donald Trump  34%,,,
